iter	Passed	Remaining
0	0	85
1	1	76
2	2	73
3	2	68
4	3	68
5	4	66
6	5	66
7	5	66
8	6	66
9	7	65
10	8	65
11	8	64
12	9	63
13	10	63
14	11	63
15	12	63
16	12	62
17	13	63
18	14	63
19	16	64
20	16	63
21	17	62
22	18	62
23	19	61
24	20	60
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	25	55
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	86	1
98	87	0
99	88	0
