iter	Passed	Remaining
0	167	166994
1	168	84004
2	169	56165
3	169	42236
4	170	33878
5	170	28318
6	171	24343
7	172	21378
8	173	19058
9	173	17200
10	174	15688
11	175	14418
12	175	13348
13	176	12425
14	177	11625
15	177	10946
16	178	10334
17	179	9787
18	180	9295
19	180	8854
20	181	8454
21	182	8093
22	182	7764
23	183	7459
24	184	7179
25	184	6918
26	185	6677
27	185	6454
28	186	6245
29	187	6050
30	187	5867
31	188	5696
32	188	5536
33	189	5384
34	190	5242
35	190	5106
36	191	4979
37	192	4861
38	192	4748
39	193	4639
40	193	4536
41	194	4437
42	195	4346
43	195	4258
44	196	4173
45	197	4090
46	197	4011
47	198	3941
48	199	3869
49	200	3802
50	200	3735
51	201	3670
52	202	3609
53	202	3550
54	203	3492
55	203	3436
56	204	3382
57	205	3330
58	205	3281
59	206	3234
60	207	3187
61	207	3141
62	208	3098
63	209	3057
64	209	3019
65	210	2979
66	211	2941
67	212	2910
68	213	2873
69	213	2838
70	214	2803
71	214	2769
72	215	2735
73	216	2703
74	216	2671
75	217	2641
76	217	2611
77	218	2582
78	219	2554
79	219	2527
80	220	2501
81	221	2475
82	221	2447
83	222	2421
84	222	2397
85	223	2372
86	224	2351
87	224	2330
88	225	2310
89	226	2288
90	227	2267
91	227	2246
92	228	2225
93	228	2205
94	229	2185
95	230	2166
96	230	2147
97	231	2128
98	231	2109
99	232	2091
100	233	2074
101	233	2057
102	234	2041
103	235	2025
104	235	2009
105	236	1992
106	236	1977
107	237	1961
108	238	1945
109	238	1932
110	239	1918
111	240	1904
112	240	1891
113	241	1877
114	242	1864
115	242	1850
116	243	1837
117	244	1825
118	244	1813
119	245	1801
120	246	1788
121	246	1775
122	247	1763
123	247	1751
124	248	1739
125	249	1728
126	249	1716
127	250	1704
128	250	1693
129	251	1682
130	252	1671
131	252	1662
132	253	1652
133	254	1642
134	255	1633
135	255	1624
136	256	1615
137	257	1605
138	257	1596
139	258	1587
140	259	1579
141	259	1569
142	260	1560
143	261	1551
144	261	1543
145	262	1534
146	263	1526
147	263	1518
148	264	1510
149	265	1502
150	265	1494
151	266	1486
152	267	1478
153	267	1470
154	268	1465
155	269	1458
156	270	1451
157	270	1443
158	271	1436
159	272	1428
160	272	1420
161	273	1412
162	273	1405
163	274	1398
164	274	1391
165	275	1384
166	276	1377
167	276	1370
168	277	1364
169	278	1357
170	278	1350
171	279	1344
172	279	1337
173	280	1331
174	281	1325
175	281	1318
176	282	1312
177	282	1306
178	283	1300
179	284	1294
180	284	1288
181	285	1282
182	285	1276
183	286	1270
184	287	1264
185	287	1259
186	288	1253
187	288	1248
188	289	1242
189	290	1237
190	290	1232
191	291	1227
192	292	1221
193	292	1216
194	293	1211
195	294	1206
196	294	1201
197	295	1196
198	296	1191
199	296	1186
200	297	1182
201	298	1177
202	298	1173
203	299	1168
204	300	1163
205	300	1159
206	301	1154
207	302	1150
208	302	1145
209	303	1140
210	303	1136
211	304	1131
212	305	1126
213	305	1122
214	306	1118
215	306	1113
216	307	1109
217	307	1104
218	308	1100
219	309	1095
220	309	1091
221	310	1087
222	310	1082
223	311	1078
224	311	1074
225	312	1070
226	313	1066
227	313	1062
228	314	1058
229	315	1054
230	315	1050
231	316	1046
232	316	1042
233	317	1038
234	317	1034
235	318	1031
236	319	1027
237	319	1024
238	320	1020
239	321	1016
240	321	1013
241	322	1009
242	322	1005
243	323	1002
244	324	999
245	324	995
246	325	992
247	326	988
248	326	985
249	327	982
250	327	978
251	328	975
252	329	972
253	329	968
254	330	965
255	331	962
256	331	958
257	332	955
258	332	952
259	333	949
260	334	946
261	334	943
262	335	939
263	336	936
264	336	933
265	337	930
266	337	927
267	338	923
268	338	920
269	339	918
270	340	915
271	340	912
272	341	909
